symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-02-03 23:59:00+00:00,238.9,238.92,238.9,238.92,1774.0,34.0,238.913636
AMZN,2025-02-04 00:00:00+00:00,238.905,238.905,238.905,238.905,774.0,31.0,238.905
AMZN,2025-02-04 00:01:00+00:00,238.99,238.99,238.97,238.97,561.0,14.0,238.983976
AMZN,2025-02-04 00:02:00+00:00,238.92,238.92,238.7,238.7,2388.0,67.0,238.855067
AMZN,2025-02-04 00:04:00+00:00,238.5623,238.5623,238.56,238.56,1240.0,30.0,238.562013
AMZN,2025-02-04 00:05:00+00:00,238.6,238.75,238.6,238.75,285.0,15.0,238.675
AMZN,2025-02-04 00:06:00+00:00,238.74,238.74,238.5,238.5,1823.0,37.0,238.532848
AMZN,2025-02-04 00:07:00+00:00,238.47,238.52,238.4,238.4,926.0,35.0,238.457576
AMZN,2025-02-04 00:08:00+00:00,238.68,238.74,238.68,238.68,935.0,38.0,238.692679
AMZN,2025-02-04 00:09:00+00:00,238.86,238.86,238.86,238.86,629.0,30.0,238.86
AMZN,2025-02-04 00:10:00+00:00,238.56,238.56,238.5597,238.56,2999.0,42.0,238.559975
AMZN,2025-02-04 00:11:00+00:00,238.55,238.7799,238.55,238.7799,816.0,28.0,238.66495
AMZN,2025-02-04 00:12:00+00:00,238.86,238.86,238.5,238.5,698.0,25.0,238.720198
AMZN,2025-02-04 00:13:00+00:00,238.5,238.5,238.48,238.5,2889.0,25.0,238.496519
AMZN,2025-02-04 00:14:00+00:00,238.5,238.78,238.43,238.78,2809.0,35.0,238.595474
AMZN,2025-02-04 00:15:00+00:00,238.52,238.52,238.4,238.4,3911.0,45.0,238.468336
AMZN,2025-02-04 00:16:00+00:00,238.4,238.4,238.3,238.3,3413.0,29.0,238.342727
AMZN,2025-02-04 00:17:00+00:00,238.1802,238.3463,238.1802,238.3463,2888.0,34.0,238.294677
AMZN,2025-02-04 00:18:00+00:00,238.3,238.3,238.25,238.25,1471.0,35.0,238.281833
AMZN,2025-02-04 00:19:00+00:00,238.29,238.29,238.25,238.26,2515.0,21.0,238.261921
AMZN,2025-02-04 00:20:00+00:00,238.3385,238.35,238.32,238.35,674.0,25.0,238.332125
AMZN,2025-02-04 00:21:00+00:00,238.38,238.4,238.38,238.4,760.0,21.0,238.388246
AMZN,2025-02-04 00:22:00+00:00,238.48,238.48,238.48,238.48,477.0,25.0,238.48
AMZN,2025-02-04 00:24:00+00:00,238.7065,238.7065,238.65,238.65,685.0,26.0,238.67825
AMZN,2025-02-04 00:25:00+00:00,238.56,238.5603,238.56,238.5603,444.0,13.0,238.560113
